Jahr,PLZ,GA,GA_flag,HTA,HTA_flag
2012,1430,9.86,1,59.00,
2012,1431,9.86,1,34.00,
2012,1432,9.86,1,68.00,
2012,1433,22.00,,104.00,
2012,1434,9.86,1,51.00,
2012,1435,9.86,1,25.00,
2012,1436,60.00,,166.00,
2012,1437,9.86,1,21.00,
2012,1438,21.00,,93.00,
2012,1439,9.86,1,72.00,
2012,1441,30.00,,121.00,
2012,1442,42.00,,122.00,
2012,1443,21.00,,87.00,
2012,1445,9.86,1,76.00,
2012,1446,53.00,,223.00,
2012,1450,171.00,,790.00,
2012,1452,9.86,1,36.00,
2012,1453,9.86,1,129.00,
2012,1454,9.86,1,105.00,
2012,1462,152.00,,555.00,
2012,1463,9.86,1,32.00,
2012,1464,9.86,1,60.00,
2012,1468,53.00,,250.00,
2012,1470,148.00,,970.00,
2012,1473,29.00,,129.00,
2012,1474,9.86,1,109.00,
2012,1475,9.86,1,143.00,
2012,1482,37.00,,156.00,
2012,1483,9.86,1,87.00,
2012,1484,9.86,1,58.00,
2012,1485,9.86,1,25.00,
2012,1486,9.86,1,23.00,
2012,1489,9.86,1,96.00,
2012,1509,9.86,1,86.00,
2012,1510,122.00,,709.00,
2012,1512,9.86,1,32.00,
2012,1513,9.86,1,31.00,
2012,1514,9.86,1,26.00,
2012,1515,9.86,1,39.00,
2012,1521,9.86,1,58.00,
2012,1522,61.00,,379.00,
2012,1523,31.00,,171.00,
2012,1524,9.86,1,11.43,2
2012,1525,9.86,1,70.00,
2012,1526,9.86,1,36.00,
2012,1527,9.86,1,31.00,
2012,1528,9.86,1,31.00,
2012,1529,9.86,1,30.00,
2012,1530,148.00,,1092.00,
2012,1532,9.86,1,105.00,
2012,1533,9.86,1,36.00,
2012,1534,9.86,1,35.00,
2012,1535,9.86,1,52.00,
2012,1536,9.86,1,45.00,
2012,1537,9.86,1,11.43,2
2012,1538,9.86,1,11.43,2
2012,1541,9.86,1,94.00,
2012,1542,9.86,1,43.00,
2012,1543,9.86,1,100.00,
2012,1544,9.86,1,141.00,
2012,1545,9.86,1,70.00,
2012,1551,9.86,1,38.00,
2012,1552,9.86,1,39.00,
2012,1553,20.00,,103.00,
2012,1554,9.86,1,49.00,
2012,1555,9.86,1,35.00,
2012,1562,42.00,,316.00,
2012,1563,9.86,1,96.00,
2012,1564,47.00,,349.00,
2012,1565,9.86,1,88.00,
2012,1566,28.00,,175.00,
2012,1567,9.86,1,45.00,
2012,1568,9.86,1,117.00,
2012,1580,128.00,,501.00,
2012,1583,9.86,1,91.00,
2012,1584,9.86,1,43.00,
2012,1585,42.00,,193.00,
2012,1586,9.86,1,113.00,
2012,1587,9.86,1,63.00,
2012,1588,40.00,,228.00,
